,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
125,parsed-cit-Patents-1.csv,GraphMat,PageRank,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,38.73105
126,parsed-cit-Patents-1.csv,PowerGraph,PageRank,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,15.7
127,parsed-cit-Patents-1.csv,GAP,SSSP,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,0.00392625
128,parsed-cit-Patents-1.csv,GraphBIG,SSSP,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,6.25848625e-07
129,parsed-cit-Patents-1.csv,GraphMat,SSSP,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,0.9952700625
130,parsed-cit-Patents-1.csv,PowerGraph,SSSP,3774768,16518948,1,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,3.25
131,parsed-cit-Patents-2.csv,GAP,BFS,3774768,16518948,2,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,0.18048375
132,parsed-cit-Patents-2.csv,GraphBIG,BFS,3774768,16518948,2,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,1.6197586875e-05
133,parsed-cit-Patents-2.csv,GraphMat,BFS,3774768,16518948,2,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,0.6904406875
134,parsed-cit-Patents-2.csv,GAP,PageRank,3774768,16518948,2,3764117 (0.997),16511741 (1.000),1 (0.000),0 (0.000),0.0757,7515023,0.02343,22,9.4,5.52658125
